Chest Pain,Good Blood Circulation,Blocked Arteries,Heart Disease
Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes
